SpecNo,MaterialCode,MaterialCodeIfs,SupplierName,Revision
CCL-SPEC-QC351,TPE15300,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC352,Sappi Parade Prima AW 115gsm,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC353,WG100E (Y3 ) 100G WHITE,,"SHENZHEN CHEERMO INNOVATIVE ADHESIVE MATERIALS CO., LTD",R03
CCL-SPEC-QC354,JSH-1202,,CÔNG TY TNHH JY TECH,R03
CCL-SPEC-QC355,Invercote GAW2 330gsm,,Holmen board and Paper AB,R03
CCL-SPEC-QC356,Transparence Tape OPP50,,SHENZHEN PANKOK,R01
CCL-SPEC-QC357,XYD-T464 Nomex,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC358,AE005-50,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC359,JR50T02-02D,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC360,JR23M03,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC361,JTY5015DB,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC362,JTY4010D-YDH-0503TA(5-10G),,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC363,PORON SRS-32P T0.2,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC364,CQ-5501,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC365,GG Clear PC Film (1.5mm),,HX Production Group Limited,R03
CCL-SPEC-QC366,70001002,,SHENZHEN PANKOK,R01
CCL-SPEC-QC367,70002935,,SHENZHEN PANKOK,R01
CCL-SPEC-QC368,70003972,,SHENZHEN PANKOK,R01
CCL-SPEC-QC369,70003170,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R01
CCL-SPEC-QC370,70000220,,SHENZHEN PANKOK,R01
CCL-SPEC-QC371,70003662,,"CCL Design (Zhongshan) Co.,ltd",R01
CCL-SPEC-QC372,70002424,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R01
CCL-SPEC-QC373,70003608,,SHENZHEN PANKOK,R01
CCL-SPEC-QC374,70003781,,SHENZHEN PANKOK,R01
CCL-SPEC-QC375,70003435,,SHENZHEN PANKOK,R01
CCL-SPEC-QC376,70003547,,SHENZHEN PANKOK,R01
CCL-SPEC-QC377,70003460,,SHENZHEN PANKOK,R01
CCL-SPEC-QC378,70002725,,SHENZHEN PANKOK,R01
CCL-SPEC-QC379,70000808,,SHENZHEN PANKOK,R01
CCL-SPEC-QC380,70000076,,SHENZHEN PANKOK,R01
CCL-SPEC-QC381,70002891,,SHENZHEN PANKOK,R01
CCL-SPEC-QC382,70003818,,SHENZHEN PANKOK,R01
CCL-SPEC-QC383,3M 9077,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC384,BY036-5Z,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC385,TD-C-0532,70001002,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC386,ASC50.S3/S60,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC387,TR-5001-LLP,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC389,C75 S35,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC390,TA268 ( DTAB060 Transfer Tape ),,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC391,UTP50WA-2,70003818,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC392,BY075-4,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC393,MSK PET NRE32L1,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC394,UTP75-4,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC395,PET M23A0,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC396,ADS1588,,CN CÔNG TY TNHH AVERY DENNISON (VIỆT NAM) TẠI BẮC NINH,R03
CCL-SPEC-QC397,DA01L,,"CCL DESIGN VINA CO., LTD",R03
CCL-SPEC-QC398,DJP/RP37/GZI/H0,,"CCL DESIGN VINA CO., LTD",R03
CCL-SPEC-QC399,Bright Silver PET 188 UVP,,"CCL DESIGN VINA CO., LTD",R03
CCL-SPEC-QC400,306T-J1 (E) CM,,"CCL DESIGN MATERIAL SCIENCE (SUZHOU) CO., LTD",R03
CCL-SPEC-QC401,336T-J1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC402,GREENTACK SK-900,,SOOKWANG COMPANY,R03
CCL-SPEC-QC403,Autotex XE F150,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC407,Nhựa PET 0.188 có cán màng 1 mặt,,CÔNG TY TNHH SẢN XUẤT LIÊN HỢP HUYNH ĐỆ,R03
CCL-SPEC-QC408,Nhựa PET 0.25 không cán màng,,CÔNG TY TNHH SẢN XUẤT LIÊN HỢP HUYNH ĐỆ,R03
CCL-SPEC-QC409,Nhựa PET 0.188 không cán màng,,CÔNG TY TNHH SẢN XUẤT LIÊN HỢP HUYNH ĐỆ,R03
CCL-SPEC-QC410,GG-Optical Extruded Clear PMMA Sheet (.. ) T1.5,,HX Production Group Limited,R03
CCL-SPEC-QC411,UTP36L-30,70003781,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC412,UTP50BAA-30-30,70003662,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC414,#8616CH-100W,,Công ty TNHH Chiyoda Integre Việt Nam,R03
CCL-SPEC-QC415,SJ-05HC,,P.T.S International,R03
CCL-SPEC-QC416,AW50.S3,7000360,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC417,Dupont AD25,70000808,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC418,JR36T02,70003170,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC419,JTY3005RB,70002725,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC420,JTY4003D ( BN-T450 ),,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC421,Liner Paper Lopasil 62G W/GLS C1S E,70000220,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC422,8744T-LG,,"CCL Design (Chongqing) Co., LTD",R03
CCL-SPEC-QC423,3M 9471LE,,Công ty TNHH Vật liệu Công nghiệp Cao Sơn,R03
CCL-SPEC-QC424,157149T-AT18,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC425,306T-BQ,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC427,W100E,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC428,PL355E2(X) SLIT,,"CCL Design (Zhongshan) Co.,ltd",R01
CCL-SPEC-QC431,Tesa 75405,70003460,CÔNG TY TNHH KỸ THUẬT CHÍNH XÁC HỢP NHẤT ( CÔNG TY TNHH UPE,R03
CCL-SPEC-QC432,TX50-P15X1,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC433,GG CLEAR PC FILM (eqv Lexan 8010) T0.38,,HX Production Group Limited,R03
CCL-SPEC-QC434,VM Velvet Matte PC Film T0.175,,HX Production Group Limited,R03
CCL-SPEC-QC441,338T-E2a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC442,JKD ARS108,70002388,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC443,128914 AM 500,70003013,G. BOPP + CO. AG,R03
CCL-SPEC-QC444,118512 AM LR 12,70004351,G. BOPP + CO. AG,R03
CCL-SPEC-QC445,114329-DIN 1.4301,70002963,G. BOPP + CO. AG,R03
CCL-SPEC-QC446,HDPE TR50 C1S Easy 10780,70000002,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC447,SF-GWGT50300-25,70004422,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC448,SJ-2080YW8,,"SSJ ADVANCED MATERIALS CO., LTD.",R03
CCL-SPEC-QC449,306T-AT1 €,,"CCL DESIGN MATERIAL SCIENCE (SUZHOU) CO., LTD",R03
CCL-SPEC-QC450,RHYNT HK-33 WF (BSM) T0.125,,"Innox higa Singapore Pte.,Ltd",R03
CCL-SPEC-QC451,AW-3209F,,CN CÔNG TY TNHH AVERY DENNISON (VIỆT NAM) TẠI BẮC NINH,R03
CCL-SPEC-QC452,KES25N MATT NPL 7LK,,Công ty TNHH Lintec Hà Nội Việt Nam,R03
CCL-SPEC-QC453,C0734,,CN CÔNG TY TNHH AVERY DENNISON (VIỆT NAM) TẠI BẮC NINH,R03
CCL-SPEC-QC454,CLW3,,CÔNG TY TNHH VẬT LIỆU TÂN TIẾN FORTUNA BẮC NINH,R03
CCL-SPEC-QC457,TDS 16043 黑卡 150g,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC458,30004614-0228 ( TDS6780A ),,"CCL Design (Suzhou) Co., Ltd",R03
CCL-SPEC-QC459,UTP-098B,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC460,SDKGM120HC,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC461,HFQ-ET003S,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC462,P250HC/250g,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC463,TDS 16043 黑卡 110g,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC464,Formex GK-10BK 0.25mm,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC468,30092002-0220 ( P218 ),,"CCL Design (Suzhou) Co., Ltd",R03
CCL-SPEC-QC469,PR72,,CÔNG TY TNHH VẬT LIỆU TÂN TIẾN FORTUNA BẮC NINH,R03
CCL-SPEC-QC470,lukitape # 01407V1,,Công ty TNHH Luki Việt Nam,R03
CCL-SPEC-QC471,M115BGA6-1,70002185,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC475,110g TDS16043,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R01
CCL-SPEC-QC476,GG-Optical Extruded Clear PMMA Sheet (...) T2.0,,HX Production Group Limited,R03
CCL-SPEC-QC477,355T-E2a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC478,306T-J1 E (Diamond),,"CCL DESIGN MATERIAL SCIENCE (SUZHOU) CO., LTD",R03
CCL-SPEC-QC479,SJ-5050WZ,,"SSJ ADVANCED MATERIALS CO., LTD.",R03
CCL-SPEC-QC480,TR-7501-H2P,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC481,S50400L-75NF,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC482,3M 7876A,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC483,385T-J1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC484,TAG012 PET0.188,,"Kunshan Zaichen Electronic Technology Co., Ltd",R03
CCL-SPEC-QC485,Dupont AD25,70000808,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC486,TD-C-0522,70001001,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC487,TD-C-0532,70001002,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC488,H03 Tape 0.06mm ( LY-6050G )-,70001852,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC489,25um 7101A-1g,70001991,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC490,Transparence Tape OPP50,70002034,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC491,7972G double sided tape,70002128,"Crown Vina Advanced Materials Technology Co., Ltd.",R03
CCL-SPEC-QC492,OPAT 上光膜 0.02mm,70002438,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC493,JTY305R-BS,70003001,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC494,CQ-B-Y8832BPVC,70003918,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC495,M23 J25,70004384,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC496,Blue PET Film 8160A,70003831,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC497,PET CLEAR T0.1,,"ATARIH Precision Vietnam Co.,Ltd",R03
CCL-SPEC-QC498,Yellow Release Liner 100-191,,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU CAPROCK BẮC GIANG,R03
CCL-SPEC-QC499,Brushed B.S PET 100 + R-500,,"SAELIM CO., LTD",R03
CCL-SPEC-QC500,TESA 61350,70003766,CÔNG TY TNHH KỸ THUẬT CHÍNH XÁC HỢP NHẤT ( CÔNG TY TNHH UPE ),R03
CCL-SPEC-QC501,TPE5030,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC502,SJ-2083WKE(R)_40,,"SSJ ADVANCED MATERIALS CO., LTD.",R03
CCL-SPEC-QC503,MW-0052F,,CN CÔNG TY TNHH AVERY DENNISON (VIỆT NAM) TẠI BẮC NINH,R03
CCL-SPEC-QC504,GG-Optical Extruded Clear PMMA Sheet (.. ) T3.0,,HX Production Group Limited,R03
CCL-SPEC-QC505,UTP-662N,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC506,PPATM(T)(30)(N)J,,"KINGLABEL INTERNATIONAL (VIETNAM) CO., LTD",R03
CCL-SPEC-QC507,HC PET-L-188,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC508,338T-J1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC509,KP0264,,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU CAPROCK BẮC GIANG,R03
CCL-SPEC-QC510,3M 93015LE,,Công ty TNHH Vật liệu Công nghiệp Cao Sơn,R03
CCL-SPEC-QC511,Tesa 61390,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC512,S50200,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC513,CAP240,,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU CAPROCK BẮC GIANG,R03
CCL-SPEC-QC514,JTY7505LS,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC515,Liner paper 80g W/GLS C1S,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC516,L075WAAH,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC517,JYS004 Blue Pet,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC518,30091064-0118 ( 257513-H1a ),,"CCL Design (Suzhou) Co., Ltd",R03
CCL-SPEC-QC519,TORAY LUMIRROR-E22 T0.188,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC520,SDKT7595A,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC521,PL309-TA1(30g) (30090236),,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC522,PL 309-TA1(L12g)( 30090172),,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC523,W80G,70006001,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC524,3M 5909,70001490,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC526,UTP50-4,70007563,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC527,UTP100L-40,70007596,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC528,UTP50-7,70007605,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC529,UTP50-12,70007646,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC530,YTML -2550R-500,70008061,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC531,PET25#,70009008,ZHEJIANG FANTEKE NEW MATERIAL CO LTD,R03
CCL-SPEC-QC532,PL309 YT,70009847,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC533,S-D100ST,70010092,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC534,Nhựa PET 0.25 có cán màng PE 1 mặt,,CÔNG TY TNHH SẢN XUẤT LIÊN HỢP HUYNH ĐỆ,R03
CCL-SPEC-QC535,SDKT0382H,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC536,TMF-24,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC537,PET188,,Công ty TNHH Cung Cấp Điện Tử Sesin Việt Nam,R03
CCL-SPEC-QC538,Soken tape A-500,,CÔNG TY TNHH NỀN VIỆT,R03
CCL-SPEC-QC539,336T-J1 E(160),,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC540,DST-10,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC541,PP3BAP,,CÔNG TY TNHH VẬT LIỆU TÂN TIẾN FORTUNA BẮC NINH,R03
CCL-SPEC-QC542,OPAT-C0026,,Công Ty Cổ Phần Vũ Hoàng Minh,R03
CCL-SPEC-QC543,HS-P32S,,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VIỆT HÀN HÀ NỘI,R03
CCL-SPEC-QC544,BG085-1Z4,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC545,RC-065A3H (Blue liner),,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC546,Saati Acoustex HD15B,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC547,S7512L-38,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC548,BD65A ( W80G ),,ZHEJIANG FANTEKE NEW MATERIAL CO LTD,R03
CCL-SPEC-QC549,HTLT75#1R(EA)J,,"KINGLABEL INTERNATIONAL (VIETNAM) CO., LTD",R03
CCL-SPEC-QC550,SDT (EA)#1R(K241221),,"KINGLABEL INTERNATIONAL (VIETNAM) CO., LTD",R03
CCL-SPEC-QC551,DELL Bezel_DB4BO_PROTECT_FILM--承托膜（PC,,"Suzhou Diyang Huichen Electronic Materials Co.,LTD",R03
CCL-SPEC-QC552,SFG-APB2M000102,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC553,SFG-APB2M000102,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC554,SFG-APB2M000102,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC555,SFG-APB2M000102,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC556,SFG-APB2M000102,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC557,SFG-APB2M000102,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC558,DELL Bezel_DB3BO_PROTECT_FILM--承托膜(PC),,"Suzhou Diyang Huichen Electronic Materials Co.,LTD",R03
CCL-SPEC-QC559,DELL Bezel_KDB45_PROTECT_FILM--承托膜(PC),,"Suzhou Diyang Huichen Electronic Materials Co.,LTD",R03
CCL-SPEC-QC560,DELL Bezel_KDB45_PROTECT_FILM--承托膜(PC),,"Suzhou Diyang Huichen Electronic Materials Co.,LTD",R03
CCL-SPEC-QC561,BL120-03PT,,"KUNSHAN FAXIN ZHONGXIN NEW MATERIALS CO.,LTD",R03
CCL-SPEC-QC562,SDKB7591A,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC563,TLT50(W)(100)(K230901),,"KINGLABEL INTERNATIONAL (VIETNAM) CO., LTD",R03
CCL-SPEC-QC564,38411T-E1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC565,Polyimide Film without Adhesive 0.075mm,,"Xiamen GBS Adhesive Tape Co.,Ltd",R03
CCL-SPEC-QC566,UTP50W-30,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC567,UTP50-30,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC568,UTP50W-100,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC569,DB6811,,CÔNG TY TNHH VẬT LIỆU DOBESTY VIỆT NAM,R03
CCL-SPEC-QC570,SDKLX0810,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC571,SDKT0501H-J,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC572,AG030 PET 0.188,,"Kunshan Zaichen Electronic Technology Co., Ltd",R03
CCL-SPEC-QC573,TR-7501-MP,,Công ty TNHH Vật Liệu Mới Sidike Việt Nam,R03
CCL-SPEC-QC574,EFR 65-NC T0.127,,"Innox higa Singapore Pte.,Ltd",R03
CCL-SPEC-QC575,3M 1567,,"JIANGSU MACTAPE INDUSTRIAL PRODUCTS TECHNOLOGY CO.,LTD",R03
CCL-SPEC-QC577,HTLB50#2RJ(K150516),,"KINGLABEL INTERNATIONAL (VIETNAM) CO., LTD",R03
CCL-SPEC-QC579,DSTT-5-R,,SIDIKE,R03
CCL-SPEC-QC581,PET 75(A) PAT1 11LL,,Công ty TNHH Lintec Hà Nội Việt Nam,R03
CCL-SPEC-QC582,PET DZ1 (188mic),,"Xiamen GBS Adhesive Tape Co.,Ltd",R03
CCL-SPEC-QC583,BX075-1W,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC584,GYPT506B,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC585,Y140YBA5,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC586,LEXAN 8010VMC-112 T0.25,,"Innox higa Singapore Pte.,Ltd",R03
